Date,Initial Claims - Composite
2011-09-01,339835.75
2011-10-01,368533
2011-11-01,394586.25
2011-12-01,484701
2012-01-01,502702
2012-02-01,361820
2012-03-01,333441.2
2012-04-01,366163.5
2012-05-01,335715.25
2012-06-01,361178
2012-07-01,387790.75
2012-08-01,315574.5
2012-09-01,308890.2
2012-10-01,344451.5
2012-11-01,400718.75
2012-12-01,455699
2013-01-01,480599.5
2013-02-01,353016.5
2013-03-01,317710.6
2013-04-01,336059
2013-05-01,311180
2013-06-01,327373.4
2013-07-01,354233.5
2013-08-01,280388.6
2013-09-01,252469.25
2013-10-01,333564.25
2013-11-01,342836
2013-12-01,437240.5
2014-01-01,449356.25
2014-02-01,338376.5
2014-03-01,295009.4
2014-04-01,308816
2014-05-01,277285.8
2014-06-01,306346.5
2014-07-01,309496.5
2014-08-01,253118.8
2014-09-01,236106
2014-10-01,264699.5
2014-11-01,302793
2014-12-01,361923.75
2015-01-01,388218.6
2015-02-01,299566.75
2015-03-01,256486.75
2015-04-01,273070.75
2015-05-01,241409
2015-06-01,268057
2015-07-01,285329.75
2015-08-01,229881.8
2015-09-01,216467
2015-10-01,244072.6
2015-11-01,280991.5
2015-12-01,340987.5
2016-01-01,378979
2016-02-01,265962
2016-03-01,237778.5
2016-04-01,249257.2
2016-05-01,248576.5
2016-06-01,252551.75
2016-07-01,257152.6
2016-08-01,220952.75
2016-09-01,203777.5
2016-10-01,231147
2016-11-01,254986.5
2016-12-01,333138
2017-01-01,333138.5
2017-02-01,239437.5
2017-03-01,229787
2017-04-01,225320
2017-05-01,216156.75
2017-06-01,228966.5
2017-07-01,242841.8
2017-08-01,200390.25
2017-09-01,218406
2017-10-01,216703.5
2017-11-01,244655
2017-12-01,314339.8
2018-01-01,321376.25
2018-02-01,220977.75
2018-03-01,205067.4
2018-04-01,211101.25
2018-05-01,198841.25
2018-06-01,213828
2018-07-01,219569
2018-08-01,178572
