DATE,Reconstructed CPI
01-12-1911,9.501148515
01-01-1912,9.501148515
01-02-1912,9.600118812
01-03-1912,9.699089109
01-04-1912,9.798059406
01-05-1912,9.798059406
01-06-1912,9.798059406
01-07-1912,9.798059406
01-08-1912,9.798059406
01-09-1912,9.798059406
01-10-1912,9.897029703
01-11-1912,9.8
01-12-1912,9.8
01-01-1913,9.8
01-02-1913,9.8
01-03-1913,9.8
01-04-1913,9.8
01-05-1913,9.7
01-06-1913,9.8
01-07-1913,9.9
01-08-1913,9.9
01-09-1913,10
01-10-1913,10
01-11-1913,10.1
01-12-1913,10
01-01-1914,10
01-02-1914,9.9
01-03-1914,9.9
01-04-1914,9.8
01-05-1914,9.9
01-06-1914,9.9
01-07-1914,10
01-08-1914,10.2
01-09-1914,10.2
01-10-1914,10.1
01-11-1914,10.2
01-12-1914,10.1
01-01-1915,10.1
01-02-1915,10
01-03-1915,9.9
01-04-1915,10
01-05-1915,10.1
01-06-1915,10.1
01-07-1915,10.1
01-08-1915,10.1
01-09-1915,10.1
01-10-1915,10.2
01-11-1915,10.3
01-12-1915,10.3
01-01-1916,10.4
01-02-1916,10.4
01-03-1916,10.5
01-04-1916,10.6
01-05-1916,10.7
01-06-1916,10.8
01-07-1916,10.8
01-08-1916,10.9
01-09-1916,11.1
01-10-1916,11.3
01-11-1916,11.5
01-12-1916,11.6
01-01-1917,11.7
01-02-1917,12
01-03-1917,12
01-04-1917,12.6
01-05-1917,12.8
01-06-1917,13
01-07-1917,12.8
01-08-1917,13
01-09-1917,13.3
01-10-1917,13.5
01-11-1917,13.5
01-12-1917,13.7
01-01-1918,14
01-02-1918,14.1
01-03-1918,14
01-04-1918,14.2
01-05-1918,14.5
01-06-1918,14.7
01-07-1918,15.1
01-08-1918,15.4
01-09-1918,15.7
01-10-1918,16
01-11-1918,16.3
01-12-1918,16.5
01-01-1919,16.5
01-02-1919,16.2
01-03-1919,16.4
01-04-1919,16.7
01-05-1919,16.9
01-06-1919,16.9
01-07-1919,17.4
01-08-1919,17.7
01-09-1919,17.8
01-10-1919,18.1
01-11-1919,18.5
01-12-1919,18.9
01-01-1920,19.3
01-02-1920,19.5
01-03-1920,19.7
01-04-1920,20.3
01-05-1920,20.6
01-06-1920,20.9
01-07-1920,20.8
01-08-1920,20.3
01-09-1920,20
01-10-1920,19.9
01-11-1920,19.8
01-12-1920,19.4
01-01-1921,19
01-02-1921,18.4
01-03-1921,18.3
01-04-1921,18.1
01-05-1921,17.7
01-06-1921,17.6
01-07-1921,17.7
01-08-1921,17.7
01-09-1921,17.5
01-10-1921,17.5
01-11-1921,17.4
01-12-1921,17.3
01-01-1922,16.9
01-02-1922,16.9
01-03-1922,16.7
01-04-1922,16.7
01-05-1922,16.7
01-06-1922,16.7
01-07-1922,16.8
01-08-1922,16.6
01-09-1922,16.6
01-10-1922,16.7
01-11-1922,16.8
01-12-1922,16.9
01-01-1923,16.8
01-02-1923,16.8
01-03-1923,16.8
01-04-1923,16.9
01-05-1923,16.9
01-06-1923,17
01-07-1923,17.2
01-08-1923,17.1
01-09-1923,17.2
01-10-1923,17.3
01-11-1923,17.3
01-12-1923,17.3
01-01-1924,17.3
01-02-1924,17.2
01-03-1924,17.1
01-04-1924,17
01-05-1924,17
01-06-1924,17
01-07-1924,17.1
01-08-1924,17
01-09-1924,17.1
01-10-1924,17.2
01-11-1924,17.2
01-12-1924,17.3
01-01-1925,17.3
01-02-1925,17.2
01-03-1925,17.3
01-04-1925,17.2
01-05-1925,17.3
01-06-1925,17.5
01-07-1925,17.7
01-08-1925,17.7
01-09-1925,17.7
01-10-1925,17.7
01-11-1925,18
01-12-1925,17.9
01-01-1926,17.9
01-02-1926,17.9
01-03-1926,17.8
01-04-1926,17.9
01-05-1926,17.8
01-06-1926,17.7
01-07-1926,17.5
01-08-1926,17.4
01-09-1926,17.5
01-10-1926,17.6
01-11-1926,17.7
01-12-1926,17.7
01-01-1927,17.5
01-02-1927,17.4
01-03-1927,17.3
01-04-1927,17.3
01-05-1927,17.4
01-06-1927,17.6
01-07-1927,17.3
01-08-1927,17.2
01-09-1927,17.3
01-10-1927,17.4
01-11-1927,17.3
01-12-1927,17.3
01-01-1928,17.3
01-02-1928,17.1
01-03-1928,17.1
01-04-1928,17.1
01-05-1928,17.2
01-06-1928,17.1
01-07-1928,17.1
01-08-1928,17.1
01-09-1928,17.3
01-10-1928,17.2
01-11-1928,17.2
01-12-1928,17.1
01-01-1929,17.1
01-02-1929,17.1
01-03-1929,17
01-04-1929,16.9
01-05-1929,17
01-06-1929,17.1
01-07-1929,17.3
01-08-1929,17.3
01-09-1929,17.3
01-10-1929,17.3
01-11-1929,17.3
01-12-1929,17.2
01-01-1930,17.1
01-02-1930,17
01-03-1930,16.9
01-04-1930,17
01-05-1930,16.9
01-06-1930,16.8
01-07-1930,16.6
01-08-1930,16.5
01-09-1930,16.6
01-10-1930,16.5
01-11-1930,16.4
01-12-1930,16.1
01-01-1931,15.9
01-02-1931,15.7
01-03-1931,15.6
01-04-1931,15.5
01-05-1931,15.3
01-06-1931,15.1
01-07-1931,15.1
01-08-1931,15.1
01-09-1931,15
01-10-1931,14.9
